User	Level	Hit Play	Start Time	End Time	A B C
3-1	Level 2	912	840	845	B
3-1	Level 2	912	979	1020	A
3-1	Level 2	912	1021	1023	C/B
3-1	Level 2	912	1025	1029	A
3-1	Level 2	912	1033	1041	A
3-1	Level 2	912	1056	1057	A
3-1	Level 2	912	1121	1133	C 
3-1	Level 2	912	1133	1134	C
3-1	Level 2	912	1135	1145	A
3-1	Level 2	912	1157	1182	C
3-1	Level 3	912	1182	1188	C
3-1	Level 3	912	1266	1293	C
3-1	Level 3	912	1294	1296	A
3-1	Level 3	912	1299	1311	B
3-1	Level 3	912	1311	1326	B
3-1	Level 3	912	1327	1345	A
3-1	Level 3	912	1347	1351	B
3-1	Level 3	912	1353	1356	C
3-1	Level 3	912	1358	1376	C
3-1	Level 3	912	1378	1389	A
3-1	Level 3	912	1391	1418	B
3-1	Level 3	912	1420	1450	B
3-1	Level 3	912	1450	1455	A
3-1	Level 3	912	1469	1470	A
3-1	Level 3	912	1470	1487	C
3-1	Level 3	912	1495	1502	C
3-1	Level 3	912	1503	1506	A
3-1	Level 3	912	1568	1582	C
3-1	Level 3	912	1583	1604	A
3-1	Level 3	912	1604	1653	C
3-1	Level 4	912	1688	1703	A
3-1	Level 4	912	1764	1799	C
3-1	Level 4	912	1820	1828	A
3-1	Level 4	912	1835	1851	C
3-1	Level 6	912	1848	1863	A
3-1	Level 6	912	1977	2001	B
3-1	Level 6	912	2005	2055	B
3-1	Level 6	912	2023	2026	A
3-1	Level 6	912	2056	2075	A
3-1	Level 6	912	2102	2111	B
3-1	Level 6	912	2114	2127	B
3-1	Level 6	912	2132	2266	B/C
3-1	Level 6	912	2301	2306	A
3-1	Level 6	912	2307	2424	B
3-1	Level 6	912	2427	2456	B
3-1	Level 6	912	2457	2477	B
3-1	Level 6	912	2514	2535	B
3-1	Level 6	912	2541	2561	C
3-1	Level 6	912	2607	2631	A
3-1	Level 6	912	2647	2705	C
3-1	Level 6	912	2713	2762	C
3-1	Level 6	912	2766	2776	C
3-1	Level 6	912	2788	2811	C
3-1	Level 6	912	2819	2844	C
3-1	Level 6	912	2855	2873	A
3-1	Level 6	912	2875	2879	A
3-1	Level 6	912	2935	2944	A
3-1	Level 6	912	2945	2958	C
3-1	Level 6	912	2958	2984	A
3-1	Level 6	912	2999	3005	C
3-1	Level 6	912	3006	3009	C
3-1	Level 6	912	3010	3049	B
3-1	Level 6	912	3170	3223	B/C
3-2	Level 2	31	356	378	B
3-2	Level 2	31	438	450	A
3-2	Level 2	31	456	462	A
3-2	Level 2	31	471	517	A
3-2	Level 2	31	525	588	B
3-2	Level 2	31	590	639	C
3-2	Level 3	31	679	679	A
3-2	Level 3	31	758	761	A
3-2	Level 3	31	761	771	B
3-2	Level 3	31	776	780	A
3-2	Level 3	31	780	818	B
3-2	Level 3	31	859	868	A
3-2	Level 3	31	898	919	A
3-2	Level 4	31	920	938	A
3-2	Level 4	31	938	954	B/C
3-2	Level 4	31	1024	1074	A
3-2	Level 4	31	1083	1100	A
3-2	Level 4	31	1109	1114	B
3-2	Level 4	31	1128	1138	C
3-2	Level 4	31	1140	1154	C
3-2	Level 4	31	1168	1172	C
3-2	Level 6	31	1173	1190	C
3-2	Level 6	31	1192	1210	C
3-2	Level 6	31	1575	1637	B
3-2	Level 6	31	1639	1046	C
3-2	Level 6	31	1647	1732	B
3-2	Level 6	31	1738	1792	B
3-2	Level 6	31	1841	2387	C
3-2	Level 6	31	1866	1894	B
3-2	Level 6	31	1902	1956	B
3-2	Level 6	31	1957	1959	A
3-2	Level 6	31	1959	2030	B
3-2	Level 6	31	2056	2111	B
3-2	Level 6	31	2121	2138	B
3-2	Level 6	31	2216	2256	C
3-2	Level 6	31	2258	2259	A
3-2	Level 6	31	2260	2277	C
3-2	Level 6	31	2313	2370	B/C
3-2	Level 6	31	2408	2440	C
3-2	Level 6	31	2484	2489	A
3-2	Level 6	31	2492	2586	C
3-2	Level 6	31	2588	2621	B
3-2	Level 6	31	2628	2642	C
3-2	Level 6	31	2659	2761	B/C
3-2	Level 6	31	2761	2776	C
3-2	Level 6	31	2891	2946	A
3-2	Level 6	31	2947	2977	C
3-2	Level 6	31	3008	3050	C
3-2	Level 6	31	3055	3056	A
3-2	Level 6	31	3057	3077	B
3-2	Level 6	31	3080	3081	A
3-2	Level 6	31	3089	3124	B/C
3-2	Level 6	31	3128	3240	C
3-2	Level 6	31	3279	3339	C
3-2	Level 6	31	3341	3366	C
3-3	Level 2	30	1059	1065	A
3-3	Level 2	30	1075	1091	A
3-3	Level 2	30	1095	1128	C
3-3	Level 2	30	1128	1136	A
3-3	Level 2	30	1150	1166	C
3-3	Level 2	30	1190	1201	C
