METADATA
level_id	2
level_title	More Arrows
goal_string	Deliver 2 packages per arrow and to each delivery point
goal_struct	{"desired":[{"id":3001,"condition":"gt","value":1,"property":"delivered","type":"delivery","thread_id":0},{"id":3002,"condition":"gt","value":1,"property":"delivered","type":"delivery","thread_id":0},{"id":1001,"condition":"gt","value":1,"property":"delivered","type":"thread","thread_id":0},{"id":1002,"condition":"gt","value":1,"property":"delivered","type":"thread","thread_id":0}],"required":[{"id":3001,"condition":"gt","value":1,"property":"delivered","type":"delivery","thread_id":0},{"id":3002,"condition":"gt","value":1,"property":"delivered","type":"delivery","thread_id":0}]}
player_palette	{"colors":{"count":2},"semaphore":{"count":-1},"signal":{"count":-1},"painter":{"count":0}}
time_pickup_min	0
time_delivery_min	1
time_exchange_min	0
time_pickup_max	0
time_delivery_max	3
time_exchange_max	0
board_width	8
board_height	8

LAYOUT
FEEEGEEC
J---J--J
J---J--J
J---J--J
J---J--J
J---J--J
J---J--J
LEEEMEEI

COLORS
########
#---#--#
#---#--#
#---#--#
#---#--#
#---#--#
#---#--#
########

DIRECTIONS
V<<<X>>V
V   A  V
V   A  V
V   A  V
V   A  V
V   A  V
V   A  V
>>>>A<<<

COMPONENTS
1001	thread	4	2	S	L	{"initial_direction":"North","time_pickup_max":-1,"delivered":0,"time_delivery_min":-1,"passed":0,"time_delivery_max":-1,"time_pickup_min":-1,"direction":"North","picked":0,"color":1,"capacity":-1,"delay":0,"time_exchange_min":-1,"missed":0,"time_exchange_max":-1}
1002	thread	4	5	S	L	{"initial_direction":"North","time_pickup_max":-1,"delivered":0,"time_delivery_min":-1,"passed":0,"time_delivery_max":-1,"time_pickup_min":-1,"direction":"North","picked":0,"color":2,"capacity":-1,"delay":0,"time_exchange_min":-1,"missed":0,"time_exchange_max":-1}
2001	pickup	0	0	S	L	{"picked":0,"passed":0,"color":1,"type":"Conditional"}
2002	pickup	7	0	S	L	{"picked":0,"passed":0,"color":2,"type":"Conditional"}
3001	delivery	0	7	S	L	{"accepted_colors":[1,2],"delivered":0,"accepted_types":["Conditional"],"passed":0,"color":0,"denominator":2,"strict":0,"consumer":-1,"missed":0}
3002	delivery	7	7	S	L	{"accepted_colors":[1,2],"delivered":0,"accepted_types":["Conditional"],"passed":0,"color":0,"denominator":2,"strict":0,"consumer":-1,"missed":0}
5001	conditional	4	0	S	L	{"directions":["East","West"],"passed":0,"color":0,"current":1}
4001	intersection	4	7	S	L	{"directions":["North","North","North","North","North","North"],"passed":0,"color":0}
9012	signal	0	3	P	E	{"passed":0,"color":0,"link":5001}

EXECUTION
S	170	1002	6	7	{"speed":0.0}
M	0	1001	4	2	
M	0	1002	4	5	
M	1	1001	4	1	
M	2	1002	4	4	
M	3	1001	4	0	
M	4	1001	3	0	
M	7	1002	4	0	
M	10	1001	0	0	
M	11	1002	3	0	
M	12	1001	0	1	
M	15	1002	0	0	
M	17	1001	0	3	
M	18	1002	0	1	
M	19	1001	0	4	
M	21	1002	0	3	
M	22	1002	0	4	
M	25	1001	0	7	
M	26	1001	1	7	
M	29	1001	4	7	
M	34	1001	4	2	
M	37	1002	0	7	
M	38	1001	4	1	
M	39	1001	4	0	
M	40	1002	1	7	
M	41	1001	3	0	
M	43	1002	4	7	
M	45	1002	4	5	
M	48	1001	0	0	
M	46	1002	4	4	
M	49	1001	0	1	
M	52	1002	4	0	
M	54	1001	0	3	
M	53	1002	3	0	
M	55	1001	0	4	
M	58	1002	0	0	
M	61	1001	0	7	
M	62	1002	0	1	
M	63	1001	1	7	
M	64	1002	0	3	
M	67	1001	4	7	
M	72	1001	4	2	
M	65	1002	0	4	
M	75	1002	0	7	
M	76	1001	4	1	
M	76	1002	1	7	
M	77	1001	4	0	
M	79	1002	4	7	
M	81	1002	4	5	
M	82	1001	3	0	
M	85	1001	0	0	
M	83	1002	4	4	
M	86	1001	0	1	
M	88	1001	0	3	
M	90	1002	4	0	
M	91	1001	0	4	
M	91	1002	5	0	
M	94	1001	0	7	
M	95	1001	1	7	
M	96	1002	7	0	
M	99	1001	4	7	
M	104	1001	4	2	
M	97	1002	7	1	
M	105	1001	4	1	
M	110	1002	7	7	
M	111	1002	6	7	
M	113	1002	4	7	
M	115	1002	4	5	
M	116	1001	4	0	
M	117	1002	4	4	
M	118	1001	5	0	
M	120	1001	7	0	
M	122	1002	4	0	
M	123	1001	7	1	
M	123	1002	5	0	
M	129	1001	7	7	
M	125	1002	7	0	
M	130	1002	7	1	
M	131	1001	6	7	
M	136	1002	7	7	
M	137	1002	6	7	
M	139	1001	4	7	
M	144	1001	4	2	
M	139	1002	4	7	
M	141	1002	4	5	
M	145	1001	4	1	
M	145	1002	4	4	
M	149	1002	4	0	
M	150	1001	4	0	
M	150	1002	5	0	
M	151	1001	5	0	
M	152	1002	7	0	
M	154	1001	7	0	
M	153	1002	7	1	
M	155	1001	7	1	
M	161	1001	7	7	
M	161	1002	7	7	
M	162	1001	6	7	
M	164	1001	4	7	
M	169	1001	4	2	
M	170	1002	6	7	
E	1	1001	4	2	{"passed":1}
E	1	3001	0	7	{"denominator":-1}
E	1	3002	7	7	{"denominator":-1}
E	2	1002	4	5	{"passed":1}
E	7	1001	4	2	{"passed":2}
E	7	5001	4	0	{"passed":1}
E	11	5001	4	0	{"passed":2}
E	12	2001	0	0	{"available":0}
E	12	2001	0	0	{"picked":1}
E	12	2001	0	0	{"passed":1}
E	12	1001	0	0	{"payload":[2001]}
E	18	2001	0	0	{"passed":2}
E	19	5001	4	0	{"current":0}
E	19	9012	0	3	{"passed":1}
E	22	5001	4	0	{"current":1}
E	22	9012	0	3	{"passed":2}
E	26	2001	0	0	{"available":1}
E	26	3001	0	7	{"delivered":1}
E	26	3001	0	7	{"passed":1}
E	26	1001	0	7	{"payload":[]}
E	26	1001	0	7	{"delivered":1}
D	26	1001	0	7	{"missed_items":[],"delivered_to":3001,"delivered_items":[2001]}
E	34	1002	4	5	{"passed":2}
E	34	4001	4	7	{"passed":1}
E	38	1001	4	2	{"passed":3}
E	40	3001	0	7	{"passed":2}
E	40	1002	0	7	{"payload":[]}
E	45	5001	4	0	{"passed":3}
E	45	4001	4	7	{"passed":2}
E	48	1002	4	5	{"passed":3}
E	52	1001	4	2	{"passed":4}
E	52	2001	0	0	{"available":0}
E	52	2001	0	0	{"picked":2}
E	52	2001	0	0	{"passed":3}
E	52	1001	0	0	{"payload":[2001]}
E	54	5001	4	0	{"passed":4}
E	55	5001	4	0	{"current":0}
E	55	9012	0	3	{"passed":3}
E	62	2001	0	0	{"passed":4}
E	64	2001	0	0	{"available":1}
E	64	3001	0	7	{"delivered":2}
E	64	3001	0	7	{"passed":3}
E	64	1001	0	7	{"payload":[]}
E	64	1001	0	7	{"delivered":2}
D	64	1001	0	7	{"missed_items":[],"delivered_to":3001,"delivered_items":[2001]}
E	64	0	0	0	{"goals_completed":3}
E	72	1002	4	5	{"passed":4}
E	72	5001	4	0	{"current":1}
E	72	4001	4	7	{"passed":3}
E	72	9012	0	3	{"passed":4}
E	76	1001	4	2	{"passed":5}
E	76	3001	0	7	{"passed":4}
E	76	1002	0	7	{"payload":[]}
E	81	4001	4	7	{"passed":4}
E	82	5001	4	0	{"passed":5}
E	85	1002	4	5	{"passed":5}
E	86	2001	0	0	{"available":0}
E	86	2001	0	0	{"picked":3}
E	86	2001	0	0	{"passed":5}
E	86	1001	0	0	{"payload":[2001]}
E	90	1001	4	2	{"passed":6}
E	91	5001	4	0	{"current":0}
E	91	5001	4	0	{"passed":6}
E	91	9012	0	3	{"passed":5}
E	96	2001	0	0	{"available":1}
E	96	3001	0	7	{"delivered":3}
E	96	3001	0	7	{"passed":5}
E	96	1001	0	7	{"payload":[]}
E	96	1001	0	7	{"delivered":3}
D	96	1001	0	7	{"missed_items":[],"delivered_to":3001,"delivered_items":[2001]}
E	104	1002	4	5	{"passed":6}
E	104	2002	7	0	{"available":0}
E	104	2002	7	0	{"picked":1}
E	104	2002	7	0	{"passed":1}
E	104	4001	4	7	{"passed":5}
E	104	1002	7	0	{"payload":[2002]}
E	110	1001	4	2	{"passed":7}
E	111	2002	7	0	{"available":1}
E	111	3002	7	7	{"delivered":1}
E	111	3002	7	7	{"passed":1}
E	111	1002	7	7	{"payload":[]}
E	111	1002	7	7	{"delivered":1}
D	111	1002	7	7	{"missed_items":[],"delivered_to":3002,"delivered_items":[2002]}
E	115	4001	4	7	{"passed":6}
E	117	1002	4	5	{"passed":7}
E	118	5001	4	0	{"passed":7}
E	122	1001	4	2	{"passed":8}
E	123	2002	7	0	{"available":0}
E	123	2002	7	0	{"picked":2}
E	123	2002	7	0	{"passed":2}
E	123	5001	4	0	{"passed":8}
E	123	1001	7	0	{"payload":[2002]}
E	130	2002	7	0	{"passed":3}
E	136	2002	7	0	{"available":1}
E	136	3002	7	7	{"delivered":2}
E	136	3002	7	7	{"passed":2}
E	136	1001	7	7	{"payload":[]}
E	136	1001	7	7	{"delivered":4}
D	136	1001	7	7	{"missed_items":[],"delivered_to":3002,"delivered_items":[2002]}
E	136	0	0	0	{"goals_completed":5}
E	137	3002	7	7	{"passed":3}
E	137	1002	7	7	{"payload":[]}
E	144	1002	4	5	{"passed":8}
E	144	4001	4	7	{"passed":8}
E	145	1001	4	2	{"passed":9}
E	145	1002	4	5	{"passed":9}
E	149	1001	4	2	{"passed":10}
E	150	5001	4	0	{"passed":9}
E	152	5001	4	0	{"passed":10}
E	154	2002	7	0	{"available":0}
E	154	2002	7	0	{"picked":3}
E	154	2002	7	0	{"passed":4}
E	154	1002	7	0	{"payload":[2002]}
E	155	2002	7	0	{"passed":5}
E	162	3002	7	7	{"passed":4}
E	162	1001	7	7	{"payload":[]}
E	169	1002	4	5	{"passed":10}
E	169	4001	4	7	{"passed":9}
E	170	2002	7	0	{"available":1}
E	170	3002	7	7	{"delivered":3}
E	170	3002	7	7	{"passed":5}
E	170	1002	7	7	{"payload":[]}
E	170	1002	7	7	{"delivered":2}
D	170	1002	7	7	{"missed_items":[],"delivered_to":3002,"delivered_items":[2002]}
E	170	0	0	0	{"goals_completed":6}
E	170	0	0	0	{"final_condition":10}

PLAYER

