03-21-17-15-27-32	SessionID	407	1203.925	200.7188	794.668
03-21-17-15-27-32	SessionUser	Playtest1-4	1203.925	200.7188	794.668
03-21-17-15-27-32	SessionVersion	Alpha	1203.925	200.7188	794.668
03-21-17-15-27-32	Calibration	1600x900	1203.925	200.7188	794.668
03-21-17-15-27-32	MouseMoveD	819.625	1204.025	200.7188	794.668
03-21-17-15-27-32	MouseMoveV	0	1204.025	200.7188	794.668
03-21-17-15-27-32	MouseMoveS	0	1204.142	200.7188	794.668
03-21-17-15-27-35	MouseMoveV	-0.3333955	1206.459	231.9727	773.8633
03-21-17-15-27-35	MouseMoveD	570.1967	1206.575	748.0859	531.4766
03-21-17-15-27-35	MouseMoveS	0	1206.676	748.0859	531.4766
03-21-17-15-27-35	MouseMoveD	149.2941	1207.159	963.4219	494.1797
03-21-17-15-27-35	MouseMoveD	229.4964	1207.275	1188.051	447.1641
03-21-17-15-27-36	MouseMoveV	0.7187751	1207.592	1264.273	420.3477
03-21-17-15-27-36	MouseMoveS	0	1207.825	1268.273	420.3477
03-21-17-15-27-55	MouseMoveS	0	1226.858	1274.148	420.3477
03-21-17-15-27-56	MouseMoveS	0	1227.842	1275.148	420.3477
03-21-17-15-27-56	MouseMoveS	0	1228.058	1276.148	420.3477
03-21-17-15-28-05	MouseDown	0	1236.608	1276.148	420.3477
03-21-17-15-28-05	nextTutorial	1	1236.708	1276.148	420.3477
03-21-17-15-28-05	MouseUp	0	1236.708	1276.148	420.3477
03-21-17-15-28-08	MouseDown	0	1239.724	1276.148	420.3477
03-21-17-15-28-08	nextTutorial	2	1239.825	1276.148	420.3477
03-21-17-15-28-08	MouseUp	0	1239.825	1276.148	420.3477
03-21-17-15-28-11	MouseDown	0	1243.291	1276.148	420.3477
03-21-17-15-28-12	nextTutorial	3	1243.491	1276.148	420.3477
03-21-17-15-28-12	MouseUp	0	1243.491	1276.148	420.3477
03-21-17-15-28-16	MouseDown	0	1247.741	1276.148	420.3477
03-21-17-15-28-16	nextTutorial	4	1247.824	1276.148	420.3477
03-21-17-15-28-16	MouseUp	0	1247.824	1276.148	420.3477
03-21-17-15-28-20	MouseDown	0	1251.975	1276.148	420.3477
03-21-17-15-28-20	nextTutorial	5	1252.108	1276.148	420.3477
03-21-17-15-28-20	MouseUp	0	1252.108	1276.148	420.3477
03-21-17-15-28-29	MouseDown	0	1261.124	1276.148	420.3477
03-21-17-15-28-29	nextTutorial	6	1261.24	1276.148	420.3477
03-21-17-15-28-29	MouseUp	0	1261.24	1276.148	420.3477
03-21-17-15-28-30	MouseDown	0	1262.257	1276.148	420.3477
03-21-17-15-28-31	endTutorial	7	1262.374	1276.148	420.3477
03-21-17-15-28-31	MouseUp	0	1262.374	1276.148	420.3477
03-21-17-15-28-31	MouseMoveV	-0.9842092	1262.957	1264.789	418.3047
03-21-17-15-28-31	MouseMoveS	0	1263.191	1257.477	420.3945
03-21-17-15-28-32	MouseMoveV	-1	1263.841	1253.691	422.4375
03-21-17-15-28-32	MouseMoveS	0	1264.073	1254.691	422.4375
03-21-17-15-28-34	MouseMoveV	-1	1266.04	1253.691	422.4375
03-21-17-15-28-34	MouseMoveV	0	1266.14	1253.691	423.4375
03-21-17-15-28-35	MouseMoveS	0	1266.474	1203.195	437.2773
03-21-17-15-28-36	MouseMoveS	0	1268.108	1061.105	464.793
