METADATA
level_id	3
level_title	Intro to Parallel
goal_string	Deliver 2 packages
goal_struct	{"desired":[{"condition":"eq","thread_id":0,"property":"delivered","id":3001,"type":"delivery","value":2}],"required":[{"condition":"eq","thread_id":0,"property":"delivered","id":3001,"type":"delivery","value":2}]}
player_palette	{"painter":{"count":0},"semaphore":{"count":-1},"signal":{"count":-1},"colors":{"count":1}}
time_pickup_min	0
time_delivery_min	1
time_exchange_min	0
time_pickup_max	0
time_delivery_max	3
time_exchange_max	0
board_width	8
board_height	8

LAYOUT
FEEEEEEC
J------J
J------J
J------J
J------J
J------J
J------J
LEEEEEEI

COLORS
!!!!!!!!
!------!
!------!
!------!
!------!
!------!
!------!
!!!!!!!!

DIRECTIONS
>>>>>>>V
A      V
A      V
A      V
A      V
A      V
A      V
A<<<<<<<

COMPONENTS
9004	signal	2	0	P	E	{"color":0,"link":4001,"passed":0}
9003	signal	2	7	P	E	{"color":0,"link":4002,"passed":0}
4002	semaphore	4	7	S	L	{"stopped":0,"color":0,"passed":0,"value":1}
4001	semaphore	4	0	S	L	{"stopped":0,"color":0,"passed":0,"value":0}
3001	delivery	7	3	S	L	{"accepted_types":["Conditional"],"color":0,"missed":0,"delivered":0,"passed":0,"accepted_colors":[],"strict":0,"consumer":-1,"denominator":2}
2001	pickup	0	3	S	L	{"color":1,"picked":0,"passed":0,"type":"Conditional"}
1001	thread	7	5	S	L	{"time_pickup_min":-1,"color":1,"initial_direction":"South","missed":0,"time_delivery_max":-1,"delivered":0,"time_exchange_max":-1,"capacity":-1,"time_pickup_max":-1,"delay":0,"picked":0,"time_delivery_min":-1,"passed":0,"time_exchange_min":-1,"direction":"South"}

EXECUTION
S	55	1001	7	4	{"speed":0.0}
M	0	1001	7	5	
M	1	1001	7	6	
M	2	1001	7	7	
M	5	1001	4	7	
M	6	1001	3	7	
M	7	1001	2	7	
M	8	1001	1	7	
M	9	1001	0	7	
M	13	1001	0	3	
M	14	1001	0	2	
M	16	1001	0	0	
M	18	1001	2	0	
M	19	1001	3	0	
M	20	1001	4	0	
M	21	1001	5	0	
M	23	1001	7	0	
M	26	1001	7	3	
M	27	1001	7	4	
M	28	1001	7	5	
M	29	1001	7	6	
M	30	1001	7	7	
M	33	1001	4	7	
M	34	1001	3	7	
M	35	1001	2	7	
M	36	1001	1	7	
M	37	1001	0	7	
M	41	1001	0	3	
M	42	1001	0	2	
M	44	1001	0	0	
M	46	1001	2	0	
M	47	1001	3	0	
M	48	1001	4	0	
M	49	1001	5	0	
M	51	1001	7	0	
M	54	1001	7	3	
M	55	1001	7	4	
E	0	3001	7	3	{"denominator":-1}
E	1	1001	7	5	{"passed":1}
E	5	4002	4	7	{"value":0}
E	6	4002	4	7	{"passed":1}
E	7	4002	4	7	{"value":1}
E	8	9003	2	7	{"passed":1}
E	14	2001	0	3	{"available":0}
E	14	2001	0	3	{"picked":1}
E	14	2001	0	3	{"passed":1}
E	14	1001	0	3	{"payload":[2001]}
E	18	4001	4	0	{"value":1}
E	19	9004	2	0	{"passed":1}
E	20	4001	4	0	{"value":0}
E	21	4001	4	0	{"passed":1}
E	27	3001	7	3	{"delivered":1}
E	27	3001	7	3	{"passed":1}
E	27	2001	0	3	{"available":1}
E	27	1001	7	3	{"payload":[]}
E	27	1001	7	3	{"delivered":1}
D	27	1001	7	3	{"missed_items":[],"delivered_items":[2001],"delivered_to":3001}
E	29	1001	7	5	{"passed":2}
E	33	4002	4	7	{"value":0}
E	34	4002	4	7	{"passed":2}
E	35	4002	4	7	{"value":1}
E	36	9003	2	7	{"passed":2}
E	42	2001	0	3	{"available":0}
E	42	2001	0	3	{"picked":2}
E	42	2001	0	3	{"passed":2}
E	42	1001	0	3	{"payload":[2001]}
E	46	4001	4	0	{"value":1}
E	47	9004	2	0	{"passed":2}
E	48	4001	4	0	{"value":0}
E	49	4001	4	0	{"passed":2}
E	55	3001	7	3	{"delivered":2}
E	55	3001	7	3	{"passed":2}
E	55	2001	0	3	{"available":1}
E	55	1001	7	3	{"payload":[]}
E	55	1001	7	3	{"delivered":2}
D	55	1001	7	3	{"missed_items":[],"delivered_items":[2001],"delivered_to":3001}
E	55	0	0	0	{"goals_completed":2}
E	55	0	0	0	{"final_condition":10,"goal_descriptions":[],"goal_state":[true,true]}

PLAYER

