METADATA
level_id	4
level_title	Mutual Exclusion
goal_string	Each arrow delivers the package twice
goal_struct	{"desired":[],"required":[{"id":3001,"condition":"eq","value":2,"property":"delivered","type":"delivery","thread_id":1001},{"id":3001,"condition":"eq","value":2,"property":"delivered","type":"delivery","thread_id":1002}]}
player_palette	{"colors":{"count":2},"semaphore":{"count":-1},"signal":{"count":-1},"painter":{"count":0}}
time_pickup_min	0
time_delivery_min	1
time_exchange_min	0
time_pickup_max	0
time_delivery_max	3
time_exchange_max	0
board_width	8
board_height	8

LAYOUT
FEEGEEEC
J--J---J
J--J---J
J--J---J
J--J---J
J--J---J
J--J---J
LEEMEEEI

COLORS
!!!#""""
!--#---"
!--#---"
!--#---"
!--#---"
!--#---"
!--#---"
!!!#""""

DIRECTIONS
>>>V<<<<
A  V   A
A  V   A
A  V   A
A  V   A
A  V   A
A  V   A
A<<X>>>A

COMPONENTS
1001	thread	0	0	S	L	{"initial_direction":"East","time_pickup_max":-1,"delivered":0,"time_delivery_min":-1,"passed":0,"time_delivery_max":-1,"time_pickup_min":-1,"direction":"East","picked":0,"color":1,"capacity":-1,"delay":0,"time_exchange_min":-1,"missed":0,"time_exchange_max":-1}
1002	thread	7	0	S	L	{"initial_direction":"West","time_pickup_max":-1,"delivered":0,"time_delivery_min":-1,"passed":0,"time_delivery_max":-1,"time_pickup_min":-1,"direction":"West","picked":0,"color":2,"capacity":-1,"delay":0,"time_exchange_min":-1,"missed":0,"time_exchange_max":-1}
2001	pickup	3	1	S	L	{"picked":0,"passed":0,"color":1,"type":"Unconditional"}
3001	delivery	3	6	S	L	{"accepted_colors":[],"delivered":0,"accepted_types":["Unconditional"],"passed":0,"color":0,"denominator":4,"strict":0,"consumer":-1,"missed":0}
4001	intersection	3	0	S	L	{"directions":["South","South","South","South","South","South"],"passed":0,"color":0}
4002	intersection	3	7	S	L	{"directions":["West","West","East","West","East","East"],"passed":0,"color":0}
9013	signal	2	7	P	E	{"passed":0,"color":0,"link":9011}
9014	signal	4	7	P	E	{"passed":0,"color":0,"link":9012}

EXECUTION
S	82	1001	3	7	{"speed":0.0}
M	0	1001	0	0	
M	0	1002	7	0	
M	1	1001	1	0	
M	2	1002	6	0	
M	4	1001	3	0	
M	5	1001	3	1	
M	6	1001	3	2	
M	10	1001	3	6	
M	9	1002	3	0	
M	10	1002	3	1	
M	11	1001	3	7	
M	11	1002	3	2	
M	15	1002	3	6	
M	16	1001	2	7	
M	17	1001	1	7	
M	17	1002	3	7	
M	18	1001	0	7	
M	25	1001	0	0	
M	26	1001	1	0	
M	26	1002	4	7	
M	27	1002	5	7	
M	29	1002	7	7	
M	36	1002	7	0	
M	38	1001	3	0	
M	39	1001	3	1	
M	37	1002	6	0	
M	42	1002	3	0	
M	43	1002	3	1	
M	44	1001	3	2	
M	44	1002	3	2	
M	48	1001	3	6	
M	52	1002	3	6	
M	53	1001	3	7	
M	53	1002	3	7	
M	54	1001	2	7	
M	55	1001	1	7	
M	55	1002	4	7	
M	56	1001	0	7	
M	63	1001	0	0	
M	56	1002	5	7	
M	65	1002	7	7	
M	72	1002	7	0	
M	73	1001	1	0	
M	75	1001	3	0	
M	76	1001	3	1	
M	77	1001	3	2	
M	81	1001	3	6	
M	82	1001	3	7	
E	1	1001	0	0	{"passed":1}
E	1	3001	3	6	{"denominator":-1}
E	2	1002	7	0	{"passed":1}
E	5	4001	3	0	{"passed":1}
E	6	2001	3	1	{"picked":1}
E	6	2001	3	1	{"passed":1}
E	6	1001	3	1	{"payload":[2001]}
E	10	4001	3	0	{"passed":2}
E	11	2001	3	1	{"picked":2}
E	11	2001	3	1	{"passed":2}
E	11	3001	3	6	{"delivered":1}
E	11	3001	3	6	{"passed":1}
E	11	1001	3	6	{"payload":[]}
E	11	1001	3	6	{"delivered":1}
D	11	1001	3	6	{"missed_items":[],"delivered_to":3001,"delivered_items":[2001]}
E	11	1002	3	1	{"payload":[2001]}
E	16	4002	3	7	{"passed":1}
E	17	3001	3	6	{"delivered":2}
E	17	3001	3	6	{"passed":2}
E	17	9013	2	7	{"passed":1}
E	17	1002	3	6	{"payload":[]}
E	17	1002	3	6	{"delivered":1}
D	17	1002	3	6	{"missed_items":[],"delivered_to":3001,"delivered_items":[2001]}
E	26	1001	0	0	{"passed":2}
E	26	4002	3	7	{"passed":2}
E	27	9014	4	7	{"passed":1}
E	39	1002	7	0	{"passed":2}
E	39	4001	3	0	{"passed":3}
E	43	4001	3	0	{"passed":4}
E	44	2001	3	1	{"picked":4}
E	44	2001	3	1	{"passed":4}
E	44	1001	3	1	{"payload":[2001]}
E	44	1002	3	1	{"payload":[2001]}
E	53	3001	3	6	{"delivered":3}
E	53	3001	3	6	{"missed":1}
E	53	3001	3	6	{"passed":4}
E	53	1001	3	6	{"payload":[]}
E	53	1001	3	6	{"missed":1}
D	53	1001	3	6	{"missed_items":[2001],"delivered_to":3001,"delivered_items":[]}
E	53	1002	3	6	{"payload":[]}
E	53	1002	3	6	{"delivered":2}
D	53	1002	3	6	{"missed_items":[],"delivered_to":3001,"delivered_items":[2001]}
E	53	0	0	0	{"goals_completed":1}
E	54	4002	3	7	{"passed":3}
E	55	4002	3	7	{"passed":4}
E	55	9013	2	7	{"passed":2}
E	63	9014	4	7	{"passed":2}
E	73	1001	0	0	{"passed":3}
E	76	4001	3	0	{"passed":5}
E	77	2001	3	1	{"picked":5}
E	77	2001	3	1	{"passed":5}
E	77	1001	3	1	{"payload":[2001]}
E	82	3001	3	6	{"delivered":4}
E	82	3001	3	6	{"passed":5}
E	82	1001	3	6	{"payload":[]}
E	82	1001	3	6	{"delivered":2}
D	82	1001	3	6	{"missed_items":[],"delivered_to":3001,"delivered_items":[2001]}
E	82	0	0	0	{"goals_completed":2}
E	82	0	0	0	{"final_condition":30}

PLAYER

