METADATA
level_id	4
level_title	Mutual Exclusion
goal_string	Each arrow delivers the package twice
goal_struct	{"desired":[],"required":[{"id":3001,"condition":"eq","value":2,"property":"delivered","type":"delivery","thread_id":1001},{"id":3001,"condition":"eq","value":2,"property":"delivered","type":"delivery","thread_id":1002}]}
player_palette	{"colors":{"count":2},"semaphore":{"count":-1},"signal":{"count":-1},"painter":{"count":0}}
time_pickup_min	0
time_delivery_min	1
time_exchange_min	0
time_pickup_max	0
time_delivery_max	3
time_exchange_max	0
board_width	8
board_height	8

LAYOUT
FEEGEEEC
J--J---J
J--J---J
J--J---J
J--J---J
J--J---J
J--J---J
LEEMEEEI

COLORS
!!!#""""
!--#---"
!--#---"
!--#---"
!--#---"
!--#---"
!--#---"
!!!#""""

DIRECTIONS
>>>V<<<<
A  V   A
A  V   A
A  V   A
A  V   A
A  V   A
A  V   A
A<<X>>>A

COMPONENTS
9014	signal	7	5	P	E	{"passed":0,"color":0,"link":9011}
9013	signal	0	5	P	E	{"passed":0,"color":0,"link":9012}
9012	semaphore	4	0	P	E	{"passed":0,"stopped":0,"color":0,"value":1}
9011	semaphore	2	0	P	E	{"passed":0,"stopped":0,"color":0,"value":0}
1001	thread	0	0	S	L	{"initial_direction":"East","time_pickup_max":-1,"delivered":0,"time_delivery_min":-1,"passed":0,"time_delivery_max":-1,"time_pickup_min":-1,"direction":"East","picked":0,"color":1,"capacity":-1,"delay":0,"time_exchange_min":-1,"missed":0,"time_exchange_max":-1}
1002	thread	7	0	S	L	{"initial_direction":"West","time_pickup_max":-1,"delivered":0,"time_delivery_min":-1,"passed":0,"time_delivery_max":-1,"time_pickup_min":-1,"direction":"West","picked":0,"color":2,"capacity":-1,"delay":0,"time_exchange_min":-1,"missed":0,"time_exchange_max":-1}
2001	pickup	3	1	S	L	{"picked":0,"passed":0,"color":1,"type":"Unconditional"}
3001	delivery	3	6	S	L	{"accepted_colors":[],"delivered":0,"accepted_types":["Unconditional"],"passed":0,"color":0,"denominator":4,"strict":0,"consumer":-1,"missed":0}
4001	intersection	3	0	S	L	{"directions":["South","South","South","South","South","South"],"passed":0,"color":0}
4002	intersection	3	7	S	L	{"directions":["West","West","East","West","East","East"],"passed":0,"color":0}

EXECUTION
S	73	1001	3	7	{"speed":0.0}
M	0	1001	0	0	
M	0	1002	7	0	
M	1	1001	1	0	
M	2	1002	6	0	
M	4	1002	4	0	
M	5	1002	3	0	
M	6	1002	3	1	
M	7	1002	3	2	
M	11	1002	3	6	
M	12	1002	3	7	
M	16	1002	7	7	
M	18	1002	7	5	
M	19	1002	7	4	
M	23	1002	7	0	
M	24	1001	2	0	
M	24	1002	6	0	
M	25	1001	3	0	
M	27	1001	3	1	
M	28	1001	3	2	
M	32	1001	3	6	
M	33	1001	3	7	
M	36	1001	0	7	
M	38	1001	0	5	
M	39	1001	0	4	
M	40	1002	4	0	
M	44	1001	0	0	
M	45	1001	1	0	
M	46	1002	3	0	
M	47	1002	3	1	
M	48	1002	3	2	
M	52	1002	3	6	
M	53	1002	3	7	
M	57	1002	7	7	
M	59	1002	7	5	
M	60	1002	7	4	
M	64	1002	7	0	
M	65	1001	2	0	
M	65	1002	6	0	
M	66	1001	3	0	
M	67	1001	3	1	
M	68	1001	3	2	
M	72	1001	3	6	
M	73	1001	3	7	
E	0	3001	3	6	{"denominator":-1}
E	1	1001	0	0	{"passed":1}
E	2	1002	7	0	{"passed":1}
E	4	9012	4	0	{"value":0}
E	5	9012	4	0	{"passed":1}
E	6	4001	3	0	{"passed":1}
E	7	2001	3	1	{"picked":1}
E	7	2001	3	1	{"passed":1}
E	7	1002	3	1	{"payload":[2001]}
E	12	3001	3	6	{"delivered":1}
E	12	3001	3	6	{"passed":1}
E	12	1002	3	6	{"payload":[]}
E	12	1002	3	6	{"delivered":1}
D	12	1002	3	6	{"missed_items":[],"delivered_to":3001,"delivered_items":[2001]}
E	18	4002	3	7	{"passed":1}
E	19	9014	7	5	{"passed":1}
E	19	9011	2	0	{"value":1}
E	24	9011	2	0	{"value":0}
E	24	1002	7	0	{"passed":2}
E	25	9011	2	0	{"passed":1}
E	27	4001	3	0	{"passed":2}
E	28	2001	3	1	{"picked":2}
E	28	2001	3	1	{"passed":2}
E	28	1001	3	1	{"payload":[2001]}
E	33	3001	3	6	{"delivered":2}
E	33	3001	3	6	{"passed":2}
E	33	1001	3	6	{"payload":[]}
E	33	1001	3	6	{"delivered":1}
D	33	1001	3	6	{"missed_items":[],"delivered_to":3001,"delivered_items":[2001]}
E	38	4002	3	7	{"passed":2}
E	39	9013	0	5	{"passed":1}
E	39	9012	4	0	{"value":1}
E	40	9012	4	0	{"value":0}
E	45	1001	0	0	{"passed":2}
E	46	9012	4	0	{"passed":2}
E	47	4001	3	0	{"passed":3}
E	48	2001	3	1	{"picked":3}
E	48	2001	3	1	{"passed":3}
E	48	1002	3	1	{"payload":[2001]}
E	53	3001	3	6	{"delivered":3}
E	53	3001	3	6	{"passed":3}
E	53	1002	3	6	{"payload":[]}
E	53	1002	3	6	{"delivered":2}
D	53	1002	3	6	{"missed_items":[],"delivered_to":3001,"delivered_items":[2001]}
E	53	0	0	0	{"goals_completed":1}
E	59	4002	3	7	{"passed":3}
E	60	9014	7	5	{"passed":2}
E	60	9011	2	0	{"value":1}
E	65	9011	2	0	{"value":0}
E	65	1002	7	0	{"passed":3}
E	66	9011	2	0	{"passed":2}
E	67	4001	3	0	{"passed":4}
E	68	2001	3	1	{"picked":4}
E	68	2001	3	1	{"passed":4}
E	68	1001	3	1	{"payload":[2001]}
E	73	3001	3	6	{"delivered":4}
E	73	3001	3	6	{"passed":4}
E	73	1001	3	6	{"payload":[]}
E	73	1001	3	6	{"delivered":2}
D	73	1001	3	6	{"missed_items":[],"delivered_to":3001,"delivered_items":[2001]}
E	73	0	0	0	{"goals_completed":2}
E	73	0	0	0	{"final_condition":10}

PLAYER

